,DSW,DSW_CI,ISW,ISW_CI,LSSW,LSSW_CI,mCDW,mCDW_CI,CDW,CDW_CI,zlowest,month,region,stress_curl_slope_MonMean,u10MonMean,v10MonMean,u10SlopeMonMean,v10SlopeMonMean,neg_u10SlopeMonMean,neg_stress_curl,ShelfWidth
0,0.0,[0. 0.],49.08094025595564,[28.90538889 29.53238889],12.814235633328314,[4. 4.],0.0,[0. 0.],0.0,[0. 0.],5635.845898356284,1,WS-NIS,-1.166701694914578e-08,-1.2557222222222222,0.16074960666232638,-0.6528518996293725,0.32867737547801773,0.6528518996293725,1.166701694914578e-08,209.3633760264864
1,29.352642222190696,[14.02680071 18.41962929],320.80685380963826,[293.51276507 298.31123652],116.06521449053015,[104.50422447 106.62016312],15.850070709027555,[6.29612727 7.58248669],0.0,[0. 0.],110640.46526087649,2,WS-NIS,-7.818114975404656e-08,-1.3091765407986111,0.6661733940972222,-0.2624820743350315,0.9957017283942533,0.2624820743350315,7.818114975404656e-08,209.3633760264864
2,111.53277291601408,[ 98.55113017 100.0815155 ],286.16129620734716,[263.85470217 266.1677042 ],117.43581761312514,[112.19217099 112.48625883],46.57577930336032,[41.59301822 42.90562328],0.0,[0. 0.],280551.4211984545,3,WS-NIS,-1.3135293970681682e-07,-1.2418256293402778,0.8783599717881945,-0.08380678097620388,1.2440826888824863,0.08380678097620388,1.3135293970681682e-07,209.3633760264864
3,43.0229893727706,[37.15279833 37.2014793 ],259.74307598298583,[252.91575532 253.85880712],128.05442318581538,[124.17016293 124.23318268],71.93367047605476,[67.58807543 67.67673831],0.43206180880497136,[0. 0.],232842.45168925315,4,WS-NIS,-1.668790227866609e-07,-1.318692165798611,0.454886962890625,0.020297108240833354,0.8897803860484303,-0.020297108240833354,1.668790227866609e-07,209.3633760264864
4,61.495591353369996,[55.07960576 55.21747193],288.7756310119835,[281.34660922 281.84807971],88.54428671696645,[85.06867994 85.16703252],46.327331730609075,[43.59391866 43.6217943 ],0.0,[0. 0.],287171.0058472361,5,WS-NIS,-2.1964815480164181e-07,-1.4447787543402777,0.9530017361111112,-0.04698480365053302,1.4435993302840604,0.04698480365053302,2.1964815480164181e-07,209.3633760264864
5,64.80310747880912,[49.97679755 51.82102112],397.8339183653088,[372.45018718 376.01895657],117.80112093427151,[109.4803769 109.6597175],33.52649481358334,[16.00310909 18.44340356],0.09586979460514627,[0. 0.],153083.3541087839,6,WS-NIS,-2.0548366504409504e-07,-2.005143012152778,-0.16490673828125,-0.6079343986144033,0.15777809387564337,0.6079343986144033,2.0548366504409504e-07,209.3633760264864
6,26.912254723455572,[19.9610952  20.46455256],424.4030575918391,[389.73466913 401.98559058],122.77119998471744,[106.21231109 106.6614745 ],71.67534574637581,[58.1210476 60.1653832],0.0,[0. 0.],64070.163535000196,7,WS-NIS,-2.693792459096938e-07,-1.8258982204861112,-0.010052903917100694,-0.3366422743248818,0.35638022709116385,0.3366422743248818,2.693792459096938e-07,209.3633760264864
7,114.26780669192516,[71.53411781 79.40751781],540.2304167075367,[490.79805638 492.48129832],95.75918521895258,[67.82655668 69.70165668],21.578710232721523,[2.95021978 6.48714286],0.0,[0. 0.],6777.272817740507,8,WS-NIS,-1.5143656091492603e-07,-1.5109878472222222,0.6888586697048611,-0.19130879454404967,0.9474655237895674,0.19130879454404967,1.5143656091492603e-07,209.3633760264864
8,68.7417372244739,[53.61053232 54.46655336],653.640713356883,[619.77048226 621.69132818],0.0,[0. 0.],20.093527941617662,[7.01018681 8.65003297],0.0,[0. 0.],11667.067159060283,9,WS-NIS,-2.45484272718058e-07,-2.5849592013888887,-0.19791944715711807,-1.326537473643543,0.058911266781778354,1.326537473643543,2.45484272718058e-07,209.3633760264864
9,24.689670044287173,[3.03392857 9.75178571],102.0635966397698,[50.37125 64.47875],82.03969101330068,[47.08415476 48.4725119 ],0.0,[0. 0.],0.0,[0. 0.],1633.0175462363168,10,WS-NIS,-2.2610409845218558e-07,-2.412718967013889,-0.3742148166232639,-1.1803318826368243,-0.02727120195880862,1.1803318826368243,2.2610409845218558e-07,209.3633760264864
10,,[0. 0.],,[0. 0.],,[0. 0.],,[0. 0.],,[0. 0.],,11,WS-NIS,-1.4319527638951925e-07,-2.9124839409722223,-0.5489234483506944,-2.0900625515669815,-0.1352203787594785,2.0900625515669815,1.4319527638951925e-07,209.3633760264864
11,,[0. 0.],,[0. 0.],,[0. 0.],,[0. 0.],,[0. 0.],,12,WS-NIS,-6.436598676677984e-08,-2.113426215277778,-0.016775919596354168,-1.5764860089775659,0.2572422193201016,1.5764860089775659,6.436598676677984e-08,209.3633760264864
12,269.97886815269464,[248.57987422 250.16237854],0.0,[0. 0.],16.027768986214962,[10.44637886 11.56477843],77.82492024649571,[56.13551032 59.46038651],0.0,[0. 0.],26050.53145259825,1,CD-NIS,-2.4641870849711054e-07,-4.444188391644022,3.0792140794836955,-4.031412625569594,2.17621957040959,4.031412625569594,2.4641870849711054e-07,110.35831033764634
13,269.97114073559413,[251.47809371 253.33334592],6.3253763340136935,[0.033 1.287],16.855144362275745,[12.74697534 13.28457499],93.16118358419044,[77.67942648 78.81798431],0.0,[0. 0.],61488.93106710965,2,CD-NIS,-2.125269000734069e-07,-4.000436976336051,4.263261435688406,-3.8901654411764706,3.1177249330079744,3.8901654411764706,2.125269000734069e-07,110.35831033764634
14,158.08379901314785,[125.87572587 133.07487745],38.920457667331135,[31.10944497 31.14945767],59.51898022551442,[42.63265107 46.41662416],46.40285346021285,[22.42974842 23.56173827],0.0,[0. 0.],47748.76861925432,3,CD-NIS,1.4068017630392645e-07,-4.3878867329030795,5.518033854166666,-4.9317191059962715,4.356971216083264,4.9317191059962715,-1.4068017630392645e-07,110.35831033764634
15,125.64182156090747,[ 97.33344448 104.18109517],34.47438451934041,[27.29915811 28.13434864],147.19735846009658,[112.07576494 116.48640232],56.453165643487644,[36.06157997 36.09744575],0.0,[0. 0.],50778.73299949223,4,CD-NIS,3.2859666515280616e-07,-4.567654551630435,6.105591174139493,-5.2175428490058,4.889775463442419,5.2175428490058,-3.2859666515280616e-07,110.35831033764634
16,13.557095212552705,[10.70456056 11.03130221],68.17998468471393,[61.91741358 61.99419661],31.089104571426592,[26.30150994 26.39645734],0.3146486226240792,[0. 0.],0.0,[0. 0.],43658.12568633624,5,CD-NIS,1.3686957585454827e-07,-5.0949661033740945,6.430138983242753,-5.628004123084093,5.102867145427713,5.628004123084093,-1.3686957585454827e-07,110.35831033764634
17,312.39386837080417,[296.09435995 296.29876258],0.0,[0. 0.],1.2754277461086532,[0. 0.],0.0,[0. 0.],0.0,[0. 0.],12856.31168077522,6,CD-NIS,1.8258694333256575e-07,-5.071061551743659,6.534314849411232,-5.566885631343206,5.187819992103355,5.566885631343206,-1.8258694333256575e-07,110.35831033764634
